,champName,gameVersion,dmgtaken,totaldamagedealttochampions,t2.gameDuration/60,matchid,taken/min,dealt/min
5237,Xerath,8.2.215.824,25617062,29277471,35099.21569999999,1153,729.8471344475086,834.1346214183358
5238,Xerath,8.2.216.1199,113293846,127739299,156080.78549999988,5077,725.8667083015166,818.4178378574351
5239,Xerath,8.20.248.3196,6981664,7892985,9685.999399999999,324,720.7995490893795,814.8859682977062
5240,Xerath,8.20.249.1952,42116354,47137525,59029.115800000014,1968,713.4844123821348,798.5470282107798
5241,Xerath,8.21.250.2733,3841080,4543035,5502.5834,181,698.0503012457748,825.6185630916561
5242,Xerath,8.21.250.9462,16178448,18320095,22299.667099999995,732,725.5017721766799,821.5411879399762
5243,Xerath,8.21.251.4430,29589264,32952922,41683.485299999986,1398,709.8558046920325,790.5510242925874
5244,Xerath,8.22.252.2691,37047263,40092470,51070.71840000002,1732,725.4110410164112,785.0383009297943
5245,Xerath,8.23.254.717,49458773,49710463,63534.23300000003,2163,778.4586460656569,782.4201324662246
5246,Xerath,8.24.255.8524,117793300,120489187,154123.86910000013,5252,764.2768163545921,781.7685067445526
5247,Xerath,8.3.217.1022,112687024,125285777,154699.31390000012,5087,728.4261394516755,809.866403680281
5248,Xerath,8.4.218.8787,88310454,96816207,118358.16740000003,3897,746.1289401478176,817.9934610917267
5249,Xerath,8.5.220.3006,91153833,99763970,122633.03129999996,4058,743.305714893472,813.5163009706997
5250,Xerath,8.6.222.2149,66853610,74094369,90365.75050000005,2980,739.8113735579495,819.93862265328
5251,Xerath,8.7.223.9264,22539468,24966916,30689.700599999996,1030,734.4310162478419,813.5275193919618
5252,Xerath,8.7.224.5563,38040245,41775727,52181.515699999996,1751,728.9984679383317,800.5847748880166
5253,Xerath,8.8.225.6906,21520511,23549590,29161.6173,975,737.9738503049349,807.5543190123409
5254,Xerath,8.8.226.7254,32416501,35174898,44283.93349999999,1494,732.0149417169549,794.3038303045055
5255,Xerath,8.9.227.7511,7574220,8385188,10491.7662,356,721.9203950617962,799.2160557294919
5256,Xerath,8.9.228.4283,49029572,53793229,65935.85080000001,2197,743.5950458684305,815.8418879460336
5257,Xerath,9.1.257.7563,65141769,67886345,86019.91810000004,2932,757.2870381516902,789.1933228892481
5258,Xerath,9.2.260.6714,11191446,12122659,15094.232800000002,513,741.4385446605805,803.1318425140494
5259,Xin Zhao,8.1.213.4336,63096429,15661960,29943.4003,1041,2107.1898437666746,523.0521531651166
5260,Xin Zhao,8.1.214.5847,245353747,60446950,116363.94840000008,4019,2108.5031091983797,519.4645835857522
5261,Xin Zhao,8.10.229.7328,514088086,129047108,241586.39980000016,8466,2127.9678261093886,534.1654501529598
5262,Xin Zhao,8.11.231.7304,133184509,33032349,64115.79930000001,2262,2077.2494526165874,515.1982718867858
5263,Xin Zhao,8.11.232.7066,35148713,8721629,16975.516300000003,602,2070.5534004877363,513.7769506309506
5264,Xin Zhao,8.11.232.8721,180160477,44335675,86418.5177,3046,2084.7438928011143,513.0344303510311
5265,Xin Zhao,8.12.233.4186,321927749,81221202,155104.31509999998,5478,2075.556368579716,523.6553344607755
