,matchid,accountid,win,kills,deaths,assists,totalminionskilled,wardsplaced,totaldamagedealt,magicdamagedealt,physicaldamagedealt,truedamagedealt,damageselfmitigated,damagedealttoobjectives,damagedealttoturrets,totaldamagedealttochampions,magicdamagedealttochampions,physicaldamagedealttochampions,truedamagedealttochampions,totaldamagetaken,physicaldamagetaken,truedamagetaken,totalheal,t2.gameDuration/60,matchRankScore,champName
112,2695191146,38126866,1,7,5,4,163,6,117014,13038,102105,1870,37046,6471,4511,19453,3826,15536,90,35528,23920,5589,190,24.7,,Nasus
113,2695191146,40505917,0,2,4,6,142,9,66079,7933,49088,9057,9125,1592,0,13024,859,7474,4690,13264,9325,187,6059,24.7,,Vayne
114,2695191146,206833412,1,4,2,4,193,6,170324,3581,162643,4099,7593,23820,16448,18386,1249,16514,622,13837,10159,783,3329,24.7,,Caitlyn
115,2695191146,207184647,0,1,8,4,164,12,131038,5279,117780,7978,9405,2321,0,13204,1384,10431,1389,19859,13523,315,3498,24.7,,Gangplank
116,2695191146,211500253,1,1,3,8,7,18,16048,10744,5303,0,3268,3801,3413,6700,5988,712,0,9000,5153,251,6788,24.7,,Nami
117,2695191146,212444879,1,5,3,2,49,12,143153,52478,77387,13288,14726,27967,2668,4206,2340,1467,398,22648,15926,373,13418,24.7,,Warwick
118,2695191146,223801276,1,9,1,3,136,10,84842,55248,21840,7754,4637,4096,2014,13749,10841,2374,534,11930,6885,543,2304,24.7,,Fizz
119,2695191146,228292469,0,6,7,2,152,4,94783,85360,8869,554,4639,1644,762,13540,12463,711,366,13168,6645,431,790,24.7,,Veigar
120,2695191147,31706304,0,8,7,7,38,24,195155,36330,139589,19235,28571,21882,726,12303,2787,8502,1014,43943,20378,518,18173,39.8167,,Jax
121,2695191147,32667467,1,3,7,17,141,6,139139,90824,41481,6832,11186,9644,5537,41504,35052,4948,1502,25732,17326,832,9586,39.8167,,Teemo
122,2695191147,33003747,0,5,6,5,197,12,155874,0,155576,298,36891,6930,6930,13254,0,12956,298,45337,15731,2745,5629,39.8167,,Kled
123,2695191147,200997268,0,6,8,11,277,14,195658,175796,18142,1720,10312,4653,4653,31341,29317,1928,96,27245,7195,670,4543,39.8167,,Azir
124,2695191147,204024437,1,9,12,21,116,24,150423,138360,9612,2450,8703,14606,4655,42070,39154,1586,1330,24575,13368,1225,3486,39.8167,,Brand
125,2695191147,219961415,0,5,14,16,116,10,85505,58115,13471,13919,62248,4407,304,16708,13172,1261,2274,76730,26083,9777,28023,39.8167,,Zac
126,2695191147,227077272,1,12,7,16,294,15,259999,2175,255829,1994,7176,29224,12458,27851,1844,24013,1994,21417,8212,674,2894,39.8167,,Ashe
127,2695191147,227284472,0,8,9,7,223,22,138065,36160,89710,12194,13933,1658,1658,15525,2421,10675,2428,21187,6333,1132,4631,39.8167,,Vayne
128,2695191147,228126570,1,9,4,12,59,9,257897,113006,130903,13988,52607,26192,5428,22747,8465,10965,3316,45391,29659,2154,15587,39.8167,,Shyvana
129,2695191147,240685403,1,11,2,12,236,11,240424,215250,17306,7867,6875,17799,7121,44232,37522,1572,5137,15872,6653,251,3801,39.8167,,Zoe
130,2695191153,34206076,1,9,8,14,225,23,189341,58016,125677,5648,96535,9321,6937,37303,16525,19027,1750,49613,29388,3503,2185,36.6167,,Nasus
131,2695191153,36562962,1,5,8,13,159,19,109460,97735,8528,3196,13759,6455,4200,22799,21624,1106,68,21924,10360,907,1719,36.6167,,Orianna
132,2695191153,47797568,1,6,8,8,216,15,186560,66193,117426,2939,22787,15908,8213,18418,5318,12510,589,27733,19079,1767,6912,36.6167,,Tristana
133,2695191153,49597252,0,6,4,8,142,15,148371,128683,14310,5378,9303,2465,2465,49752,47274,1491,987,25256,10031,1093,7069,36.6167,,Brand
134,2695191153,204898609,0,12,10,9,110,9,204704,31651,161738,11314,30072,14901,314,27491,5464,20230,1797,43844,19437,1114,13113,36.6167,,Jax
135,2695191153,211045815,0,8,9,9,205,15,166943,583,164603,1756,38514,12775,2721,34257,583,33647,26,30497,16786,3852,7312,36.6167,,Riven
136,2695191153,217907519,0,4,6,11,239,5,169843,17321,137449,15073,10868,1815,1815,28892,885,22283,5723,22296,13088,331,4051,36.6167,,Twitch
137,2695191153,220558554,1,1,4,20,65,28,34847,26729,6139,1978,13674,3210,2443,16061,12515,2312,1234,21351,13483,1532,7903,36.6167,,Lulu
138,2695191153,230335958,0,4,6,12,52,33,29651,6688,13777,9184,44474,573,573,12079,5143,6101,834,25875,11363,919,4996,36.6167,,Shen
139,2695191153,235962544,1,14,6,8,85,19,188773,66768,112051,9952,67339,13489,4049,23685,11425,9316,2943,60919,38740,1657,29772,36.6167,,Warwick
140,2695191156,38505771,0,3,8,0,30,7,68903,6340,56974,5588,6831,0,0,5216,961,4170,84,14535,10616,856,3606,23.5833,,Pantheon
141,2695191156,40996007,0,4,5,1,37,11,43121,37418,5703,0,3695,0,0,8114,7283,830,0,9605,5839,669,1325,23.5833,,Lux
142,2695191156,202088510,1,8,1,6,52,16,88469,1316,83123,4028,6912,2379,1745,11801,0,11291,510,10802,9637,59,3477,23.5833,,Riven
143,2695191156,203910952,1,2,4,4,109,8,77019,1236,71008,4775,4006,7568,3233,8019,560,7459,0,9441,6014,18,1198,23.5833,,Jinx
144,2695191156,229280953,1,3,2,5,70,13,52989,44254,8735,0,10869,1669,1669,3150,2992,157,0,10810,9423,241,1525,23.5833,,Galio
145,2695191156,229433088,1,7,1,4,87,7,53293,1315,50318,1660,5888,3954,1946,10540,1257,8512,770,11123,10185,24,2895,23.5833,,Irelia
146,2695191156,230698946,0,2,5,1,123,7,57858,214,54940,2703,9677,0,0,5574,214,5021,338,17022,11676,2009,767,23.5833,,Darius
147,2695191156,235069143,1,5,5,7,80,10,63044,42982,10413,9648,4120,5446,943,14404,9512,700,4191,12747,8281,248,265,23.5833,,Vel'Koz
148,2695191156,237749874,0,1,2,2,66,4,41275,8210,33064,0,3272,0,0,5288,1439,3848,0,7615,5207,412,410,23.5833,,Miss Fortune
149,2695191156,240233565,0,2,5,3,86,8,44105,1455,42481,168,5720,0,0,9105,892,8044,168,11766,6298,1523,496,23.5833,,Jayce
150,2695191157,418027,0,6,7,1,141,6,68117,52552,13183,2380,6379,225,225,14024,10419,2793,810,19232,7427,1313,519,24.3333,,Corki
151,2695191157,33352141,1,10,1,2,186,9,132780,25800,97014,9966,6562,16861,8804,17382,849,14336,2196,11196,5568,1145,3002,24.3333,,Vayne
152,2695191157,34633806,0,1,5,1,72,4,25435,7120,14879,3435,2394,0,0,3891,1259,1371,1260,6870,3625,515,1737,24.3333,,Kog'Maw
153,2695191157,35426681,0,2,3,0,199,7,138460,121296,12909,4255,8322,1047,1047,12133,10290,1842,0,15823,8341,1254,3671,24.3333,,Lissandra
154,2695191157,36815369,1,3,2,7,146,3,95822,69506,24366,1950,20092,5710,5710,12207,9304,2902,0,19465,8872,378,8106,24.3333,,Maokai
155,2695191157,43524818,1,2,3,12,8,18,13643,9259,2885,1498,3102,2293,1747,7274,5333,909,1032,7703,4543,923,3237,24.3333,,Lulu
156,2695191157,45425730,1,10,5,2,120,8,94552,76436,14079,4036,14462,5293,4962,16358,13591,1874,892,14123,6035,576,1998,24.3333,,Diana
157,2695191157,229343541,0,2,6,3,40,9,98853,3931,89093,5828,9474,0,0,6145,508,5246,390,20786,12552,916,7106,24.3333,,Kayn
158,2695191157,233922355,0,1,7,3,28,16,14542,7250,3381,3910,13662,0,0,5439,3755,774,910,12863,6895,890,1132,24.3333,,Rakan
159,2695191157,242730996,1,3,1,4,30,8,126546,31530,85851,9163,5654,11709,2439,8531,1802,5958,770,13633,10233,348,5875,24.3333,,Kindred
160,2695191159,33064831,0,12,9,8,242,13,180792,37555,131127,12109,25179,22727,3685,30410,5439,20508,4461,27102,10740,568,5692,42.4,,Twitch
161,2695191159,33979218,0,2,5,19,60,40,20581,10092,5756,4732,13953,2295,490,7440,4580,1039,1820,18677,6685,190,3236,42.4,,Lulu
162,2695191159,36171563,0,6,8,13,256,17,270850,236179,31675,2995,22061,6052,267,40618,34271,5089,1256,33833,15126,196,2166,42.4,,Corki
163,2695191159,37468603,1,11,5,12,263,10,241147,11927,225122,4096,13427,16877,5498,28881,951,27638,292,23482,8327,544,8717,42.4,,Jhin
164,2695191159,41372857,1,3,5,18,271,8,182033,103877,76416,1738,84441,5413,3355,16047,12842,3087,118,38340,13233,2656,6339,42.4,,Malphite
165,2695191159,200485558,1,1,8,18,98,43,45104,22085,12079,10940,44956,1411,555,11792,7882,2591,1318,30684,11449,1895,6617,42.4,,Blitzcrank
166,2695191159,205651434,0,6,8,7,103,13,206102,4982,192185,8934,40725,12457,1752,21783,548,19742,1493,37586,21546,939,11223,42.4,,Vi
167,2695191159,214365336,1,12,6,11,351,12,369497,358526,8039,2931,10459,23505,10276,55528,55121,246,160,22814,8365,1245,1830,42.4,,Veigar
168,2695191159,219713050,0,4,3,13,320,20,247961,229890,17098,972,36739,10319,8750,45648,43925,1421,302,38678,18296,383,21144,42.4,,Swain
169,2695191159,229165628,1,6,6,17,87,59,186469,36848,130492,19129,42258,11767,3524,20522,2453,17680,388,52557,25034,2991,11222,42.4,,Lee Sin
